baseline_equivalent_adjusted_score,baseline_estimated_cost_usd,baseline_first_final_score_iteration,baseline_first_plateau_iteration,baseline_generated_tests,baseline_iterations,baseline_kill_agreement_accuracy,baseline_killed,baseline_llm_calls,baseline_models,baseline_paid_cost_usd,baseline_paid_tokens,baseline_providers,baseline_runtime_sec,baseline_score,baseline_score_at_matched_proposed_paid_tokens,baseline_score_at_matched_proposed_tokens,baseline_tokens_at_first_final_score,baseline_tokens_at_plateau,baseline_total_tokens,cluster_compression_ratio,dataset_name,dataset_subset,equivalent_mutants,final_layer_used,layer1_iterations,layer1_killed_mutants,layer1_new_kills,layer1_num_clusters,layer1_representatives,layer2_new_kills,layer2_used,layer3_new_kills,layer3_used,official_equivalent_adjusted_score,official_killed,official_score,parent_task_id,problem_id,proposed_equivalent_adjusted_score,proposed_estimated_cost_usd,proposed_generated_tests,proposed_kill_agreement_accuracy,proposed_killed,proposed_llm_calls,proposed_models,proposed_paid_cost_usd,proposed_paid_tokens,proposed_providers,proposed_runtime_sec,proposed_score,proposed_total_tokens,score_delta_proposed_minus_baseline,source_task_id,token_delta_proposed_minus_baseline,total_mutants
1.0,0.10409,1,0,1,1,0.9545,22,1,gpt-5.2,0.10409,15870,openai,91.479,1.0,0.0,1.0,15870,0,15870,11.0,evoeval,creative,0,2,3,17,17,2,2,5,True,0,False,0.9545,21,0.9545,HumanEval/10,EvoEval_creative/10,1.0,0.01019025,4,0.9545,22,6,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini",0.01019025,9597,"hf,openai",85.1773,1.0,18591,0.0,EvoEval/10,2721,22
1.0,0.05585825,3,0,2,3,0.9375,16,3,gpt-5.2,0.05585825,15385,openai,36.362,1.0,0.0,0.9375,15385,0,15385,3.2,evoeval,creative,0,2,3,15,15,5,5,1,True,0,False,0.9375,15,0.9375,HumanEval/11,EvoEval_creative/11,1.0,0.00346375,2,0.9375,16,4,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini",0.00346375,3117,"hf,openai",87.3416,1.0,13704,0.0,EvoEval/11,-1681,16
1.0,0.0083825,1,0,1,1,1.0,4,1,gpt-5.2,0.0083825,3103,openai,5.193,1.0,0.0,1.0,3103,0,3103,1.3333,evoeval,creative,0,1,1,4,4,3,3,0,False,0,False,1.0,4,1.0,HumanEval/12,EvoEval_creative/12,1.0,0.0,1,1.0,4,1,Qwen/Qwen2.5-Coder-3B-Instruct,0,0,hf,11.7885,1.0,3552,0.0,EvoEval/12,449,4
0.8889,0.0750365,1,3,1,3,1.0,8,3,gpt-5.2,0.0750365,11672,openai,67.736,0.888889,0.888889,0.888889,5850,11672,11672,1.8,evoeval,creative,0,3,3,8,8,5,5,0,True,0,True,0.8889,8,0.8889,HumanEval/13,EvoEval_creative/13,0.8889,0.0608005,1,1.0,8,5,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini,gpt-5.2",0.0608005,7419,"hf,openai",110.5497,0.888889,16818,0.0,EvoEval/13,5146,9
1.0,0.01499925,1,0,1,1,1.0,14,1,gpt-5.2,0.01499925,7374,openai,4.881,1.0,0.0,0.0,7374,0,7374,2.8,evoeval,creative,0,1,1,14,14,5,5,0,False,0,False,1.0,14,1.0,HumanEval/14,EvoEval_creative/14,1.0,0.0,1,1.0,14,1,Qwen/Qwen2.5-Coder-3B-Instruct,0,0,hf,15.9889,1.0,4041,0.0,EvoEval/14,-3333,14
0.92,0.1204945,1,3,1,3,1.0,23,3,gpt-5.2,0.1204945,23312,openai,106.476,0.92,0.92,0.92,14411,23312,23312,6.25,evoeval,creative,0,3,3,15,15,4,4,7,True,1,True,0.92,23,0.92,HumanEval/15,EvoEval_creative/15,0.92,0.0688725,6,1.0,23,10,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini,gpt-5.2",0.0688725,27961,"hf,openai",183.4306,0.92,38788,0.0,EvoEval/15,15476,25
0.9167,0.10501575,2,4,2,4,1.0,22,4,gpt-5.2,0.10501575,21278,openai,82.533,0.916667,0.0,0.916667,16150,21278,21278,4.8,evoeval,creative,0,3,3,19,19,5,5,0,True,1,True,0.9167,22,0.9167,HumanEval/16,EvoEval_creative/16,0.8333,0.04450375,2,0.9167,20,6,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini,gpt-5.2",0.04450375,10569,"hf,openai",118.0728,0.833333,20968,-0.083334,EvoEval/16,-310,24
1.0,0.0232785,1,0,1,1,1.0,13,1,gpt-5.2,0.0232785,7660,openai,15.06,1.0,0.0,1.0,7660,0,7660,2.6,evoeval,creative,0,2,3,10,10,5,5,3,True,0,False,1.0,13,1.0,HumanEval/17,EvoEval_creative/17,1.0,0.002534,2,1.0,13,4,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini",0.002534,2947,"hf,openai",71.6776,1.0,13877,0.0,EvoEval/17,6217,13
1.0,0.06819575,1,0,1,1,1.0,21,1,gpt-5.2,0.06819575,13181,openai,69.059,1.0,0.0,0.0,13181,0,13181,4.2,evoeval,creative,0,1,1,21,21,5,5,0,False,0,False,1.0,21,1.0,HumanEval/18,EvoEval_creative/18,1.0,0.0,1,1.0,21,1,Qwen/Qwen2.5-Coder-3B-Instruct,0,0,hf,21.5508,1.0,4014,0.0,EvoEval/18,-9167,21
1.0,0.09995825,1,0,1,1,1.0,19,1,gpt-5.2,0.09995825,17184,openai,83.04,1.0,0.0,0.0,17184,0,17184,3.8,evoeval,creative,0,1,1,19,19,5,5,0,False,0,False,1.0,19,1.0,HumanEval/19,EvoEval_creative/19,1.0,0.0,1,1.0,19,1,Qwen/Qwen2.5-Coder-3B-Instruct,0,0,hf,18.2257,1.0,4226,0.0,EvoEval/19,-12958,19
1.0,0.038262,1,0,1,1,1.0,22,1,gpt-5.2,0.038262,12687,openai,22.614,1.0,0.0,0.0,12687,0,12687,11.0,evoeval,creative,0,1,1,22,22,2,2,0,False,0,False,1.0,22,1.0,HumanEval/20,EvoEval_creative/20,1.0,0.0,1,1.0,22,1,Qwen/Qwen2.5-Coder-3B-Instruct,0,0,hf,7.801,1.0,3057,0.0,EvoEval/20,-9630,22
0.9524,0.12199075,1,3,1,3,1.0,20,3,gpt-5.2,0.12199075,22382,openai,98.163,0.952381,0.0,0.952381,16774,22382,22382,4.2,evoeval,creative,0,3,3,19,19,5,5,1,True,0,True,0.9524,20,0.9524,HumanEval/21,EvoEval_creative/21,0.9524,0.0354375,2,1.0,20,6,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini,gpt-5.2",0.0354375,9563,"hf,openai",103.4223,0.952381,20477,0.0,EvoEval/21,-1905,21
1.0,0.0360535,1,0,1,1,1.0,25,1,gpt-5.2,0.0360535,13784,openai,15.985,1.0,0.0,0.0,13784,0,13784,5.0,evoeval,creative,0,1,1,25,25,5,5,0,False,0,False,1.0,25,1.0,HumanEval/22,EvoEval_creative/22,1.0,0.0,1,1.0,25,1,Qwen/Qwen2.5-Coder-3B-Instruct,0,0,hf,83.9487,1.0,4918,0.0,EvoEval/22,-8866,25
0.88,0.13939275,1,3,1,3,1.0,22,3,gpt-5.2,0.13939275,23520,openai,135.958,0.88,0.0,0.88,14529,23520,23520,5.0,evoeval,creative,0,3,3,21,21,5,5,1,True,0,True,0.88,22,0.88,HumanEval/23,EvoEval_creative/23,0.88,0.04948125,2,1.0,22,6,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini,gpt-5.2",0.04948125,14157,"hf,openai",287.102,0.88,25911,0.0,EvoEval/23,2391,25
1.0,0.00586775,1,0,1,1,1.0,2,1,gpt-5.2,0.00586775,2205,openai,3.772,1.0,0.0,1.0,2205,0,2205,2.0,evoeval,creative,0,1,1,2,2,1,1,0,False,0,False,1.0,2,1.0,HumanEval/24,EvoEval_creative/24,1.0,0.0,1,1.0,2,1,Qwen/Qwen2.5-Coder-3B-Instruct,0,0,hf,21.2668,1.0,2979,0.0,EvoEval/24,774,2
0.7273,0.1282155,1,3,1,3,1.0,8,3,gpt-5.2,0.1282155,17651,openai,109.263,0.727273,0.0,0.727273,8532,17651,17651,2.75,evoeval,creative,0,3,3,8,8,4,4,0,True,0,True,0.7273,8,0.7273,HumanEval/25,EvoEval_creative/25,0.7273,0.0401425,1,1.0,8,5,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini,gpt-5.2",0.0401425,7616,"hf,openai",83.9192,0.727273,18134,0.0,EvoEval/25,483,11
1.0,0.2873815,3,0,3,3,0.8333,24,3,gpt-5.2,0.2873815,37532,openai,638.895,1.0,0.916667,1.0,37532,0,37532,12.0,evoeval,creative,0,3,3,16,16,2,2,7,True,1,True,0.8333,20,0.8333,HumanEval/26,EvoEval_creative/26,1.0,0.0880705,7,0.8333,24,10,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini,gpt-5.2",0.0880705,37169,"hf,openai",334.2123,1.0,49042,0.0,EvoEval/26,11510,24
1.0,0.01537025,1,0,1,1,1.0,6,1,gpt-5.2,0.01537025,4492,openai,9.866,1.0,0.0,0.0,4492,0,4492,2.0,evoeval,creative,0,1,1,6,6,3,3,0,False,0,False,1.0,6,1.0,HumanEval/27,EvoEval_creative/27,1.0,0.0,1,1.0,6,1,Qwen/Qwen2.5-Coder-3B-Instruct,0,0,hf,21.7095,1.0,3732,0.0,EvoEval/27,-760,6
0.96,0.1378895,2,4,2,4,0.92,24,4,gpt-5.2,0.1378895,27498,openai,111.233,0.96,0.0,0.92,19755,27498,27498,12.5,evoeval,creative,0,3,3,22,22,2,2,0,True,0,True,0.88,22,0.88,HumanEval/28,EvoEval_creative/28,0.88,0.01897025,1,0.92,22,5,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini,gpt-5.2",0.01897025,6715,"hf,openai",70.8513,0.88,17232,-0.08,EvoEval/28,-10266,25
0.9231,0.07275975,1,3,1,3,1.0,12,3,gpt-5.2,0.07275975,14634,openai,62.87,0.923077,0.0,0.923077,9361,14634,14634,2.6,evoeval,creative,0,3,3,12,12,5,5,0,True,0,True,0.9231,12,0.9231,HumanEval/29,EvoEval_creative/29,0.9231,0.0231935,1,1.0,12,5,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini,gpt-5.2",0.0231935,5932,"hf,openai",96.5288,0.923077,16420,0.0,EvoEval/29,1786,13
0.0,0.0,1,0,0,2,0.1667,0,2,gpt-5.2,0.0,0,openai,966.93,0.0,0.0,0.0,0,0,0,12.0,evoeval,creative,0,3,3,0,0,2,2,23,True,0,True,0.8333,20,0.8333,HumanEval/30,EvoEval_creative/30,0.9583,0.07639925,4,0.875,23,9,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini,gpt-5.2",0.07639925,31460,"hf,openai",321.3806,0.958333,42035,0.958333,EvoEval/30,42035,24
1.0,0.05133275,1,0,1,1,1.0,21,1,gpt-5.2,0.05133275,13275,openai,32.303,1.0,0.0,0.0,13275,0,13275,4.2,evoeval,creative,0,1,1,21,21,5,5,0,False,0,False,1.0,21,1.0,HumanEval/31,EvoEval_creative/31,1.0,0.0,1,1.0,21,1,Qwen/Qwen2.5-Coder-3B-Instruct,0,0,hf,34.8632,1.0,4398,0.0,EvoEval/31,-8877,21
1.0,0.1148735,1,0,1,1,1.0,23,1,gpt-5.2,0.1148735,20667,openai,83.684,1.0,0.0,0.0,20667,0,20667,4.6,evoeval,creative,0,2,3,21,21,5,5,2,True,0,False,1.0,23,1.0,HumanEval/32,EvoEval_creative/32,1.0,0.0041645,2,1.0,23,4,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini",0.0041645,3687,"hf,openai",76.8228,1.0,14630,0.0,EvoEval/32,-6037,23
0.92,0.0821695,1,3,1,3,1.0,23,3,gpt-5.2,0.0821695,20578,openai,60.83,0.92,0.0,0.92,14464,20578,20578,5.0,evoeval,creative,0,3,3,23,23,5,5,0,True,0,True,0.92,23,0.92,HumanEval/33,EvoEval_creative/33,0.92,0.03130825,1,1.0,23,5,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini,gpt-5.2",0.03130825,7254,"hf,openai",91.0654,0.92,18031,0.0,EvoEval/33,-2547,25
1.0,0.125622,2,4,2,4,1.0,22,4,gpt-5.2,0.125622,26529,openai,89.682,0.916667,0.0,0.916667,19954,26529,26529,12.0,evoeval,creative,2,3,3,20,20,2,2,1,True,1,True,1.0,22,0.9167,HumanEval/34,EvoEval_creative/34,1.0,0.059028,3,1.0,22,7,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini,gpt-5.2",0.059028,13339,"hf,openai",185.3001,0.916667,24369,0.0,EvoEval/34,-2160,24
0.8571,0.1783775,1,3,1,3,0.9524,18,3,gpt-5.2,0.1783775,23915,openai,145.992,0.857143,0.857143,0.857143,13511,23915,23915,4.2,evoeval,creative,0,3,3,13,13,5,5,4,True,1,True,0.8095,17,0.8095,HumanEval/35,EvoEval_creative/35,0.8571,0.09635075,3,0.9524,18,7,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini,gpt-5.2",0.09635075,17099,"hf,openai",192.4686,0.857143,27270,0.0,EvoEval/35,3355,21
1.0,0.0185605,1,0,1,1,1.0,8,1,gpt-5.2,0.0185605,5986,openai,9.156,1.0,0.0,0.0,5986,0,5986,2.0,evoeval,creative,0,1,1,8,8,4,4,0,False,0,False,1.0,8,1.0,HumanEval/36,EvoEval_creative/36,1.0,0.0,1,1.0,8,1,Qwen/Qwen2.5-Coder-3B-Instruct,0,0,hf,14.7688,1.0,4191,0.0,EvoEval/36,-1795,8
1.0,0.038843,1,0,1,1,1.0,25,1,gpt-5.2,0.038843,12732,openai,22.553,1.0,1.0,1.0,12732,0,12732,5.0,evoeval,creative,0,2,3,17,17,5,5,8,True,0,False,1.0,25,1.0,HumanEval/37,EvoEval_creative/37,1.0,0.01273475,5,1.0,25,7,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini",0.01273475,12810,"hf,openai",176.8682,1.0,24004,0.0,EvoEval/37,11272,25
1.0,0.0090895,1,0,1,1,1.0,3,1,gpt-5.2,0.0090895,2793,openai,6.725,1.0,0.0,1.0,2793,0,2793,1.5,evoeval,creative,0,1,1,3,3,2,2,0,False,0,False,1.0,3,1.0,HumanEval/38,EvoEval_creative/38,1.0,0.0,1,1.0,3,1,Qwen/Qwen2.5-Coder-3B-Instruct,0,0,hf,15.8463,1.0,3241,0.0,EvoEval/38,448,3
0.8889,0.03955,1,3,1,3,1.0,8,3,gpt-5.2,0.03955,10399,openai,30.201,0.888889,0.0,0.888889,6143,10399,10399,3.0,evoeval,creative,0,3,3,8,8,3,3,0,True,0,True,0.8889,8,0.8889,HumanEval/39,EvoEval_creative/39,0.8889,0.0162475,1,1.0,8,5,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini,gpt-5.2",0.0162475,5363,"hf,openai",86.5065,0.888889,15454,0.0,EvoEval/39,5055,9
0.9524,0.12156375,1,3,1,3,1.0,20,3,gpt-5.2,0.12156375,23384,openai,221.656,0.952381,0.0,0.952381,14700,23384,23384,4.2,evoeval,creative,0,3,3,20,20,5,5,0,True,0,True,0.9524,20,0.9524,HumanEval/40,EvoEval_creative/40,0.9524,0.07172525,1,1.0,20,5,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini,gpt-5.2",0.07172525,10272,"hf,openai",188.32,0.952381,21920,0.0,EvoEval/40,-1464,21
1.0,0.27148625,3,0,3,3,0.8636,22,3,gpt-5.2,0.27148625,31683,openai,379.706,1.0,1.0,1.0,31683,0,31683,4.4,evoeval,creative,0,3,3,0,0,5,5,18,True,4,True,0.8636,19,0.8636,HumanEval/41,EvoEval_creative/41,1.0,0.18449125,4,0.8636,22,8,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini,gpt-5.2",0.18449125,33605,"hf,openai",540.6952,1.0,45870,0.0,EvoEval/41,14187,22
1.0,0.0378595,1,0,1,1,1.0,20,1,gpt-5.2,0.0378595,11603,openai,29.408,1.0,0.0,0.0,11603,0,11603,4.0,evoeval,creative,0,1,1,20,20,5,5,0,False,0,False,1.0,20,1.0,HumanEval/42,EvoEval_creative/42,1.0,0.0,1,1.0,20,1,Qwen/Qwen2.5-Coder-3B-Instruct,0,0,hf,13.9539,1.0,4176,0.0,EvoEval/42,-7427,20
1.0,0.07529725,1,0,1,1,0.9444,18,1,gpt-5.2,0.07529725,15097,openai,50.942,1.0,0.0,0.0,15097,0,15097,3.6,evoeval,creative,0,2,3,17,17,5,5,1,True,0,False,0.9444,17,0.9444,HumanEval/43,EvoEval_creative/43,1.0,0.00301125,2,0.9444,18,4,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini",0.00301125,3099,"hf,openai",45.5387,1.0,13696,0.0,EvoEval/43,-1401,18
0.8,0.114513,1,3,1,3,1.0,8,3,gpt-5.2,0.114513,15736,openai,109.394,0.8,0.0,0.8,7841,15736,15736,2.0,evoeval,creative,0,3,3,8,8,5,5,0,True,0,True,0.8,8,0.8,HumanEval/44,EvoEval_creative/44,0.8,0.028393,1,1.0,8,5,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini,gpt-5.2",0.028393,5939,"hf,openai",81.6135,0.8,16209,0.0,EvoEval/44,473,10
1.0,0.01071875,1,0,1,1,1.0,5,1,gpt-5.2,0.01071875,4025,openai,5.545,1.0,0.0,0.0,4025,0,4025,1.6667,evoeval,creative,0,1,1,5,5,3,3,0,False,0,False,1.0,5,1.0,HumanEval/45,EvoEval_creative/45,1.0,0.0,1,1.0,5,1,Qwen/Qwen2.5-Coder-3B-Instruct,0,0,hf,24.594,1.0,4017,0.0,EvoEval/45,-8,5
1.0,0.016632,1,0,1,1,1.0,5,1,gpt-5.2,0.016632,4492,openai,12.753,1.0,0.0,0.0,4492,0,4492,1.6667,evoeval,creative,0,1,1,5,5,3,3,0,False,0,False,1.0,5,1.0,HumanEval/46,EvoEval_creative/46,1.0,0.0,1,1.0,5,1,Qwen/Qwen2.5-Coder-3B-Instruct,0,0,hf,31.2295,1.0,4195,0.0,EvoEval/46,-297,5
0.9,0.1126335,1,3,1,3,1.0,9,3,gpt-5.2,0.1126335,13633,openai,116.921,0.9,0.9,0.9,4885,13633,13633,2.5,evoeval,creative,0,3,3,0,0,4,4,9,True,0,True,0.9,9,0.9,HumanEval/47,EvoEval_creative/47,0.9,0.04969025,1,1.0,9,6,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini,gpt-5.2",0.04969025,10841,"hf,openai",118.5147,0.9,20062,0.0,EvoEval/47,6429,10
1.0,0.02708825,1,0,1,1,1.0,9,1,gpt-5.2,0.02708825,7254,openai,18.875,1.0,0.0,0.0,7254,0,7254,2.25,evoeval,creative,0,1,1,9,9,4,4,0,False,0,False,1.0,9,1.0,HumanEval/48,EvoEval_creative/48,1.0,0.0,1,1.0,9,1,Qwen/Qwen2.5-Coder-3B-Instruct,0,0,hf,27.1603,1.0,4327,0.0,EvoEval/48,-2927,9
1.0,0.0144865,1,0,1,1,1.0,4,1,gpt-5.2,0.0144865,3749,openai,11.326,1.0,0.0,1.0,3749,0,3749,2.0,evoeval,creative,0,1,1,4,4,2,2,0,False,0,False,1.0,4,1.0,HumanEval/49,EvoEval_creative/49,1.0,0.0,1,1.0,4,1,Qwen/Qwen2.5-Coder-3B-Instruct,0,0,hf,38.4731,1.0,3923,0.0,EvoEval/49,174,4
