completion_tokens,dataset_name,dataset_subset,equivalent_adjusted_score,equivalent_mutants,estimated_cost_usd,final_score,generated_tests,invalid_calls,kill_agreement_accuracy,kill_f1,kill_precision,kill_recall,killed_mutants,layer1_calls,layer1_cost_usd,layer1_tokens,layer2_calls,layer2_cost_usd,layer2_tokens,layer3_calls,layer3_cost_usd,layer3_tokens,llm_calls,models,official_equivalent_adjusted_score,official_killed,official_score,paid_api_cost_usd,paid_api_tokens,parent_task_id,problem_id,productive_calls,prompt_chars,prompt_tokens,providers,response_chars,runtime_sec,sanity_passed,source_task_id,surviving_mutants,thoughts_tokens,total_mutants,total_tokens,zero_kill_calls
528,evoeval,creative,1.0,0,0.01019025,1.0,4,0,0.9545,0.9767,0.9545,1.0,22,3,0.0,8994,3,0.01019025,9597,0,0,0,6,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini",0.9545,21,0.9545,0.01019025,9597,HumanEval/10,EvoEval_creative/10,4,54318,13903,"hf,openai",1437,190.482,True,EvoEval/10,0,4160,22,18591,2
711,evoeval,creative,1.0,0,0.00346375,1.0,2,0,0.9375,0.9677,0.9375,1.0,16,3,0.0,10587,1,0.00346375,3117,0,0,0,4,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini",0.9375,15,0.9375,0.00346375,3117,HumanEval/11,EvoEval_creative/11,2,49099,11585,"hf,openai",2528,135.416,True,EvoEval/11,0,1408,16,13704,2
87,evoeval,creative,1.0,0,0.0,1.0,1,0,1.0,1.0,1.0,1.0,4,1,0.0,3552,0,0,0,0,0,0,1,Qwen/Qwen2.5-Coder-3B-Instruct,1.0,4,1.0,0,0,HumanEval/12,EvoEval_creative/12,1,13734,3465,hf,266,21.044,True,EvoEval/12,0,0,4,3552,0
385,evoeval,creative,0.8889,0,0.0608005,0.888889,1,0,1.0,1.0,1.0,1.0,8,3,0.0,9399,1,0.001857,2108,1,0.0589435,5311,5,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini,gpt-5.2",0.8889,8,0.8889,0.0608005,7419,HumanEval/13,EvoEval_creative/13,1,47251,11699,"hf,openai",1032,184.092,True,EvoEval/13,1,4734,9,16818,4
113,evoeval,creative,1.0,0,0.0,1.0,1,0,1.0,1.0,1.0,1.0,14,1,0.0,4041,0,0,0,0,0,0,1,Qwen/Qwen2.5-Coder-3B-Instruct,1.0,14,1.0,0,0,HumanEval/14,EvoEval_creative/14,1,15880,3928,hf,426,29.864,True,EvoEval/14,0,0,14,4041,0
935,evoeval,creative,0.92,0,0.0688725,0.92,6,0,1.0,1.0,1.0,1.0,23,3,0.0,10827,5,0.020415,20431,2,0.0484575,7530,10,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini,gpt-5.2",0.92,23,0.92,0.0688725,27961,HumanEval/15,EvoEval_creative/15,6,96055,27054,"hf,openai",2425,308.864,True,EvoEval/15,2,10799,25,38788,4
524,evoeval,creative,0.8333,0,0.04450375,0.833333,2,0,0.9167,0.9524,1.0,0.9091,20,3,0.0,10399,1,0.00712725,5059,2,0.0373765,5510,6,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini,gpt-5.2",0.9167,22,0.9167,0.04450375,10569,HumanEval/16,EvoEval_creative/16,2,58142,15027,"hf,openai",1716,217.687,True,EvoEval/16,4,5417,24,20968,4
553,evoeval,creative,1.0,0,0.002534,1.0,2,0,1.0,1.0,1.0,1.0,13,3,0.0,10930,1,0.002534,2947,0,0,0,4,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini",1.0,13,1.0,0.002534,2947,HumanEval/17,EvoEval_creative/17,2,48370,12364,"hf,openai",1576,96.254,True,EvoEval/17,0,960,13,13877,2
35,evoeval,creative,1.0,0,0.0,1.0,1,0,1.0,1.0,1.0,1.0,21,1,0.0,4014,0,0,0,0,0,0,1,Qwen/Qwen2.5-Coder-3B-Instruct,1.0,21,1.0,0,0,HumanEval/18,EvoEval_creative/18,1,15759,3979,hf,128,148.335,True,EvoEval/18,0,0,21,4014,0
130,evoeval,creative,1.0,0,0.0,1.0,1,0,1.0,1.0,1.0,1.0,19,1,0.0,4226,0,0,0,0,0,0,1,Qwen/Qwen2.5-Coder-3B-Instruct,1.0,19,1.0,0,0,HumanEval/19,EvoEval_creative/19,1,17283,4096,hf,312,115.041,True,EvoEval/19,0,0,19,4226,0
32,evoeval,creative,1.0,0,0.0,1.0,1,0,1.0,1.0,1.0,1.0,22,1,0.0,3057,0,0,0,0,0,0,1,Qwen/Qwen2.5-Coder-3B-Instruct,1.0,22,1.0,0,0,HumanEval/20,EvoEval_creative/20,1,11895,3025,hf,145,54.196,True,EvoEval/20,0,0,22,3057,0
593,evoeval,creative,0.9524,0,0.0354375,0.952381,2,0,1.0,1.0,1.0,1.0,20,3,0.0,10914,2,0.0052395,6020,1,0.030198,3543,6,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini,gpt-5.2",0.9524,20,0.9524,0.0354375,9563,HumanEval/21,EvoEval_creative/21,2,63901,15996,"hf,openai",1573,216.834,True,EvoEval/21,1,3888,21,20477,4
822,evoeval,creative,1.0,0,0.0,1.0,1,0,1.0,1.0,1.0,1.0,25,1,0.0,4918,0,0,0,0,0,0,1,Qwen/Qwen2.5-Coder-3B-Instruct,1.0,25,1.0,0,0,HumanEval/22,EvoEval_creative/22,1,15601,4096,hf,3817,115.387,True,EvoEval/22,0,0,25,4918,0
2000,evoeval,creative,0.88,0,0.04948125,0.88,2,0,1.0,1.0,1.0,1.0,22,3,0.0,11754,2,0.01403675,10108,1,0.0354445,4049,6,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini,gpt-5.2",0.88,22,0.88,0.04948125,14157,HumanEval/23,EvoEval_creative/23,2,60288,15429,"hf,openai",1872,465.195,True,EvoEval/23,3,8482,25,25911,4
199,evoeval,creative,1.0,0,0.0,1.0,1,0,1.0,1.0,1.0,1.0,2,1,0.0,2979,0,0,0,0,0,0,1,Qwen/Qwen2.5-Coder-3B-Instruct,1.0,2,1.0,0,0,HumanEval/24,EvoEval_creative/24,1,11259,2780,hf,382,26.964,True,EvoEval/24,0,0,2,2979,0
295,evoeval,creative,0.7273,0,0.0401425,0.727273,1,0,1.0,1.0,1.0,1.0,8,3,0.0,10518,1,0.0037915,3504,1,0.036351,4112,5,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini,gpt-5.2",0.7273,8,0.7273,0.0401425,7616,HumanEval/25,EvoEval_creative/25,1,57369,13909,"hf,openai",1025,201.314,True,EvoEval/25,3,3930,11,18134,4
2256,evoeval,creative,1.0,0,0.0880705,1.0,7,1,0.8333,0.9091,0.8333,1.0,24,3,0.0,11873,6,0.03427025,31150,1,0.05380025,6019,10,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini,gpt-5.2",0.8333,20,0.8333,0.0880705,37169,HumanEval/26,EvoEval_creative/26,7,93542,29556,"hf,openai",6358,991.759,True,EvoEval/26,0,17230,24,49042,2
191,evoeval,creative,1.0,0,0.0,1.0,1,0,1.0,1.0,1.0,1.0,6,1,0.0,3732,0,0,0,0,0,0,1,Qwen/Qwen2.5-Coder-3B-Instruct,1.0,6,1.0,0,0,HumanEval/27,EvoEval_creative/27,1,13861,3541,hf,593,36.211,True,EvoEval/27,0,0,6,3732,0
250,evoeval,creative,0.88,0,0.01897025,0.88,1,0,0.92,0.9545,0.9545,0.9545,22,3,0.0,10517,1,0.0048565,4089,1,0.01411375,2626,5,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini,gpt-5.2",0.88,22,0.88,0.01897025,6715,HumanEval/28,EvoEval_creative/28,1,51473,14136,"hf,openai",747,200.248,True,EvoEval/28,3,2846,25,17232,4
705,evoeval,creative,0.9231,0,0.0231935,0.923077,1,0,1.0,1.0,1.0,1.0,12,3,0.0,10488,1,0.003814,3237,1,0.0193795,2695,5,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini,gpt-5.2",0.9231,12,0.9231,0.0231935,5932,HumanEval/29,EvoEval_creative/29,1,51314,13036,"hf,openai",2355,169.024,True,EvoEval/29,1,2679,13,16420,4
3034,evoeval,creative,0.9583,0,0.07639925,0.958333,4,3,0.875,0.9302,0.8696,1.0,23,3,0.0,10575,5,0.03457075,26682,1,0.0418285,4778,9,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini,gpt-5.2",0.8333,20,0.8333,0.07639925,31460,HumanEval/30,EvoEval_creative/30,4,79211,22362,"hf,openai",8240,1304.009,True,EvoEval/30,1,16639,24,42035,2
302,evoeval,creative,1.0,0,0.0,1.0,1,0,1.0,1.0,1.0,1.0,21,1,0.0,4398,0,0,0,0,0,0,1,Qwen/Qwen2.5-Coder-3B-Instruct,1.0,21,1.0,0,0,HumanEval/31,EvoEval_creative/31,1,16468,4096,hf,53,82.135,True,EvoEval/31,0,0,21,4398,0
628,evoeval,creative,1.0,0,0.0041645,1.0,2,0,1.0,1.0,1.0,1.0,23,3,0.0,10943,1,0.0041645,3687,0,0,0,4,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini",1.0,23,1.0,0.0041645,3687,HumanEval/32,EvoEval_creative/32,2,53035,12338,"hf,openai",1649,177.964,True,EvoEval/32,0,1664,23,14630,2
389,evoeval,creative,0.92,0,0.03130825,0.92,1,0,1.0,1.0,1.0,1.0,23,3,0.0,10777,1,0.00422525,3741,1,0.027083,3513,5,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini,gpt-5.2",0.92,23,0.92,0.03130825,7254,HumanEval/33,EvoEval_creative/33,1,55340,14145,"hf,openai",872,169.457,True,EvoEval/33,2,3497,25,18031,4
1281,evoeval,creative,1.0,2,0.059028,0.916667,3,0,1.0,1.0,1.0,1.0,22,3,0.0,11030,2,0.00628825,6351,2,0.05273975,6988,7,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini,gpt-5.2",1.0,22,0.9167,0.059028,13339,HumanEval/34,EvoEval_creative/34,3,63768,17340,"hf,openai",2225,342.661,True,EvoEval/34,2,5748,24,24369,4
714,evoeval,creative,0.8571,0,0.09635075,0.857143,3,0,0.9524,0.9714,0.9444,1.0,18,3,0.0,10171,2,0.0097905,7984,2,0.08656025,9115,7,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini,gpt-5.2",0.8095,17,0.8095,0.09635075,17099,HumanEval/35,EvoEval_creative/35,3,66041,16563,"hf,openai",2587,353.287,True,EvoEval/35,3,9993,21,27270,4
95,evoeval,creative,1.0,0,0.0,1.0,1,0,1.0,1.0,1.0,1.0,8,1,0.0,4191,0,0,0,0,0,0,1,Qwen/Qwen2.5-Coder-3B-Instruct,1.0,8,1.0,0,0,HumanEval/36,EvoEval_creative/36,1,15700,4096,hf,210,29.824,True,EvoEval/36,0,0,8,4191,0
1369,evoeval,creative,1.0,0,0.01273475,1.0,5,0,1.0,1.0,1.0,1.0,25,3,0.0,11194,4,0.01273475,12810,0,0,0,7,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini",1.0,25,1.0,0.01273475,12810,HumanEval/37,EvoEval_creative/37,5,69681,17579,"hf,openai",4233,217.228,True,EvoEval/37,0,5056,25,24004,2
133,evoeval,creative,1.0,0,0.0,1.0,1,0,1.0,1.0,1.0,1.0,3,1,0.0,3241,0,0,0,0,0,0,1,Qwen/Qwen2.5-Coder-3B-Instruct,1.0,3,1.0,0,0,HumanEval/38,EvoEval_creative/38,1,12836,3108,hf,30,25.174,True,EvoEval/38,0,0,3,3241,0
619,evoeval,creative,0.8889,0,0.0162475,0.888889,1,0,1.0,1.0,1.0,1.0,8,3,0.0,10091,1,0.0038645,3222,1,0.012383,2141,5,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini,gpt-5.2",0.8889,8,0.8889,0.0162475,5363,HumanEval/39,EvoEval_creative/39,1,48313,12545,"hf,openai",1360,123.569,True,EvoEval/39,1,2290,9,15454,4
1027,evoeval,creative,0.9524,0,0.07172525,0.952381,1,1,1.0,1.0,1.0,1.0,20,3,0.0,11648,1,0.00444125,3926,1,0.067284,6346,5,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini,gpt-5.2",0.9524,20,0.9524,0.07172525,10272,HumanEval/40,EvoEval_creative/40,1,61299,14499,"hf,openai",2486,425.407,True,EvoEval/40,1,6394,21,21920,3
1464,evoeval,creative,1.0,0,0.18449125,1.0,4,4,0.8636,0.9268,0.8636,1.0,22,3,0.0,12265,3,0.02260575,18316,2,0.1618855,15289,8,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini,gpt-5.2",0.8636,19,0.8636,0.18449125,33605,HumanEval/41,EvoEval_creative/41,4,85167,23581,"hf,openai",4209,934.797,True,EvoEval/41,0,20825,22,45870,0
80,evoeval,creative,1.0,0,0.0,1.0,1,0,1.0,1.0,1.0,1.0,20,1,0.0,4176,0,0,0,0,0,0,1,Qwen/Qwen2.5-Coder-3B-Instruct,1.0,20,1.0,0,0,HumanEval/42,EvoEval_creative/42,1,17201,4096,hf,311,57.41,True,EvoEval/42,0,0,20,4176,0
325,evoeval,creative,1.0,0,0.00301125,1.0,2,0,0.9444,0.9714,0.9444,1.0,18,3,0.0,10597,1,0.00301125,3099,0,0,0,4,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini",0.9444,17,0.9444,0.00301125,3099,HumanEval/43,EvoEval_creative/43,2,48000,12219,"hf,openai",726,109.165,True,EvoEval/43,0,1152,18,13696,2
398,evoeval,creative,0.8,0,0.028393,0.8,1,0,1.0,1.0,1.0,1.0,8,3,0.0,10270,1,0.0030495,2874,1,0.0253435,3065,5,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini,gpt-5.2",0.8,8,0.8,0.028393,5939,HumanEval/44,EvoEval_creative/44,1,50496,12981,"hf,openai",1102,198.365,True,EvoEval/44,2,2830,10,16209,4
215,evoeval,creative,1.0,0,0.0,1.0,1,0,1.0,1.0,1.0,1.0,5,1,0.0,4017,0,0,0,0,0,0,1,Qwen/Qwen2.5-Coder-3B-Instruct,1.0,5,1.0,0,0,HumanEval/45,EvoEval_creative/45,1,14069,3802,hf,541,34.061,True,EvoEval/45,0,0,5,4017,0
286,evoeval,creative,1.0,0,0.0,1.0,1,0,1.0,1.0,1.0,1.0,5,1,0.0,4195,0,0,0,0,0,0,1,Qwen/Qwen2.5-Coder-3B-Instruct,1.0,5,1.0,0,0,HumanEval/46,EvoEval_creative/46,1,15534,3909,hf,1323,47.882,True,EvoEval/46,0,0,5,4195,0
561,evoeval,creative,0.9,0,0.04969025,0.9,1,3,1.0,1.0,1.0,1.0,9,3,0.0,9221,2,0.00717925,6625,1,0.042511,4216,6,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini,gpt-5.2",0.9,9,0.9,0.04969025,10841,HumanEval/47,EvoEval_creative/47,1,54528,13707,"hf,openai",1561,240.824,True,EvoEval/47,1,5794,10,20062,2
231,evoeval,creative,1.0,0,0.0,1.0,1,0,1.0,1.0,1.0,1.0,9,1,0.0,4327,0,0,0,0,0,0,1,Qwen/Qwen2.5-Coder-3B-Instruct,1.0,9,1.0,0,0,HumanEval/48,EvoEval_creative/48,1,18183,4096,hf,522,52.696,True,EvoEval/48,0,0,9,4327,0
375,evoeval,creative,1.0,0,0.0,1.0,1,0,1.0,1.0,1.0,1.0,4,1,0.0,3923,0,0,0,0,0,0,1,Qwen/Qwen2.5-Coder-3B-Instruct,1.0,4,1.0,0,0,HumanEval/49,EvoEval_creative/49,1,13120,3548,hf,1272,52.188,True,EvoEval/49,0,0,4,3923,0
