problem_id,iteration,status,new_kills,cumulative_kills,cumulative_score,iteration_tokens,cumulative_tokens,cumulative_paid_tokens,surviving_count,failure_category,candidate_calls,assertions,error
EvoEval_creative/25,3,VALID_ZERO_KILL,0,8,0.7272727272727273,4885,17651,17651,3,VALID_ZERO_KILL,"[""candidate(text, 'wow')""]","[""result == (3, 'wowwow')""]",valid but unproductive: killed zero active mutants
EvoEval_creative/26,1,PRODUCTIVE,20,20,0.8333333333333334,20644,20644,20644,4,NONE,"['candidate(maze_up, (2, 0), (0, 0))', 'candidate(maze_left, (0, 2), (0, 0))', 'candidate(maze, (0, 0), (2, 2))', 'candidate([[0], [1], [0]], (0, 0), (2, 0))', 'candidate([[0, 1, 0]], (0, 0), (0, 2))']","[""candidate(maze, (0, 0), (2, 2)) == ['right', 'right', 'down', 'down']"", 'res_up != []', 'res_left != []', 'candidate([[0], [1], [0]], (0, 0), (2, 0)) == []', 'candidate([[0, 1, 0]], (0, 0), (0, 2)) == []', 'isinstance(path, list)', '(x, y) == end', 'step in moves', '0 <= x < len(maze) and 0 <= y < len(maze[0])', 'maze[x][y] == 0']",
EvoEval_creative/26,2,PRODUCTIVE,2,22,0.9166666666666666,9239,29883,29883,2,NONE,"['candidate(maze, (0, 0), (2, 0))']",['res == []'],
EvoEval_creative/26,3,PRODUCTIVE,2,24,1.0,7649,37532,37532,0,NONE,"['candidate(maze, (0, 0), (1, 0))', 'candidate(maze2, (0, 0), (1, 1))']","[""candidate(maze, (0, 0), (1, 0)) == ['down']"", ""candidate(maze2, (0, 0), (1, 1)) == ['right', 'down']""]",
EvoEval_creative/27,1,PRODUCTIVE,6,6,1.0,4492,4492,4492,0,NONE,"[""candidate('abcd', 2)""]","[""candidate('abcd', 2) == ['ab', 'cd']""]",
EvoEval_creative/28,1,PRODUCTIVE,23,23,0.92,16291,16291,16291,2,NONE,"['candidate(10001)', 'candidate(10000, 0)', 'candidate(20000, 0)', 'candidate(55000, 2500)', 'candidate(120000, 5000)']","['candidate(10001) == 0.15', 'candidate(10000, 0) == 0', 'candidate(20000, 0) == 1500.0', 'candidate(55000, 2500) == 7750.0', 'candidate(120000, 5000) == 23700.0']",
EvoEval_creative/28,2,PRODUCTIVE,1,24,0.96,3464,19755,19755,1,NONE,"['candidate(9999.5, 0)']","['candidate(9999.5, 0) == 0']",
EvoEval_creative/28,3,VALID_ZERO_KILL,0,24,0.96,3491,23246,23246,1,VALID_ZERO_KILL,"['candidate(36000, 1000)']","['candidate(36000, 1000) == 3750.0']",valid but unproductive: killed zero active mutants
EvoEval_creative/28,4,VALID_ZERO_KILL,0,24,0.96,4252,27498,27498,1,VALID_ZERO_KILL,"['candidate(10500, 1000)']","['candidate(10500, 1000) == 0']",valid but unproductive: killed zero active mutants
EvoEval_creative/29,1,PRODUCTIVE,12,12,0.9230769230769231,9361,9361,9361,1,NONE,"[""candidate('aa')""]","[""candidate('aa') == ['a', 'aa']""]",
EvoEval_creative/29,2,VALID_ZERO_KILL,0,12,0.9230769230769231,2260,11621,11621,1,VALID_ZERO_KILL,"[""candidate('hello')""]","[""candidate('hello') == ['e', 'h', 'l', 'll', 'o']""]",valid but unproductive: killed zero active mutants
EvoEval_creative/29,3,VALID_ZERO_KILL,0,12,0.9230769230769231,3013,14634,14634,1,VALID_ZERO_KILL,['candidate(s)'],"['result == expected', 'result == sorted(result)', 'len(result) == len(set(result))']",valid but unproductive: killed zero active mutants
EvoEval_creative/2,1,PRODUCTIVE,16,16,1.0,13338,13338,13338,0,NONE,"[""candidate(['Y'], 1)"", ""candidate(['z'], 1)"", ""candidate(['z'], 'abc')""]","[""candidate(['Y'], 1) == ['z']"", ""candidate(['z'], 1) == ['a']"", ""candidate(['z'], 'abc') == ['h']""]",
EvoEval_creative/30,1,ERROR,0,0,0.0,0,0,0,24,LLM_API_ERROR,[],[],RuntimeError: RuntimeError('All OpenAI models failed: gpt-5.2: APITimeoutError: Request timed out.')
EvoEval_creative/30,2,ERROR,0,0,0.0,0,0,0,24,LLM_API_ERROR,[],[],RuntimeError: RuntimeError('All OpenAI models failed: gpt-5.2: APITimeoutError: Request timed out.')
EvoEval_creative/31,1,PRODUCTIVE,21,21,1.0,13275,13275,13275,0,NONE,"['candidate(3, 2)', 'candidate(7, 3)']","['candidate(3, 2) == 3', 'candidate(7, 3) == 28']",
EvoEval_creative/32,1,PRODUCTIVE,23,23,1.0,20667,20667,20667,0,NONE,"['candidate(playlist[:], seed)']","['candidate(playlist[:], seed) == expected']",
EvoEval_creative/33,1,PRODUCTIVE,23,23,0.92,14464,14464,14464,2,NONE,"['candidate(4, [1, 2])']","['candidate(4, [1, 2]) == 5']",
EvoEval_creative/33,2,VALID_ZERO_KILL,0,23,0.92,3060,17524,17524,2,VALID_ZERO_KILL,"['candidate(10, [1, 2, 5])']","['candidate(10, [1, 2, 5]) == 128']",valid but unproductive: killed zero active mutants
EvoEval_creative/33,3,VALID_ZERO_KILL,0,23,0.92,3054,20578,20578,2,VALID_ZERO_KILL,"['candidate(3, [2])', 'candidate(2, [2])', 'candidate(1, [1, 3])']","['candidate(3, [2]) == 0', 'candidate(2, [2]) == 1', 'candidate(1, [1, 3]) == 1']",valid but unproductive: killed zero active mutants
EvoEval_creative/34,1,PRODUCTIVE,20,20,0.8333333333333334,15837,15837,15837,4,NONE,"['candidate(23, 12)']","['candidate(23, 12) == [0, 10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 100, 90, 80, 70, 60, 50, 40, 30, 20, 10, 0, 0]']",
EvoEval_creative/34,2,PRODUCTIVE,2,22,0.9166666666666666,4117,19954,19954,2,NONE,"['candidate(10, 8)']","['candidate(10, 8) == [0, 10, 20, 30, 40, 50, 60, 100, 90, 80]']",
EvoEval_creative/34,3,VALID_ZERO_KILL,0,22,0.9166666666666666,3478,23432,23432,2,VALID_ZERO_KILL,"['candidate(1, 1)', 'candidate(6, 6)']","['candidate(1, 1) == [0]', 'candidate(6, 6) == [0, 10, 20, 30, 40, 80]']",valid but unproductive: killed zero active mutants
EvoEval_creative/34,4,VALID_ZERO_KILL,0,22,0.9166666666666666,3097,26529,26529,2,VALID_ZERO_KILL,"['candidate(4, 3)']","['candidate(4, 3) == [0, 10, 20, 10]']",valid but unproductive: killed zero active mutants
EvoEval_creative/35,1,PRODUCTIVE,18,18,0.8571428571428571,13511,13511,13511,3,NONE,"[""candidate('myemail@domain.com')"", ""candidate('myemail.domain.com')"", ""candidate('@a.b')"", ""candidate('ab.@c')"", ""candidate('ab@.')""]","[""candidate('myemail@domain.com') is True"", ""candidate('myemail.domain.com') is False"", ""candidate('@a.b') is False"", ""candidate('ab.@c') is False"", ""candidate('ab@.') is True""]",
EvoEval_creative/35,2,VALID_ZERO_KILL,0,18,0.8571428571428571,5433,18944,18944,3,VALID_ZERO_KILL,"[""candidate('a@b.c')"", ""candidate('a@bc')"", ""candidate('a@b@c.d')""]","[""candidate('a@b.c') is True"", ""candidate('a@bc') is False"", ""candidate('a@b@c.d') is False""]",valid but unproductive: killed zero active mutants
EvoEval_creative/35,3,VALID_ZERO_KILL,0,18,0.8571428571428571,4971,23915,23915,3,VALID_ZERO_KILL,"[""candidate('a@.')"", ""candidate('a@.b')"", ""candidate('a.b@c')""]","[""candidate('a@.') is True"", ""candidate('a@.b') is True"", ""candidate('a.b@c') is False""]",valid but unproductive: killed zero active mutants
EvoEval_creative/36,1,PRODUCTIVE,8,8,1.0,5986,5986,5986,0,NONE,"['candidate([1, 2, 3])']","['result == [0, 1.0, 1.0, 1.0]']",
EvoEval_creative/37,1,PRODUCTIVE,25,25,1.0,12732,12732,12732,0,NONE,"[""candidate('uUzZ-9!')""]","[""candidate('uUzZ-9!') == 'aAbB-9!'""]",
EvoEval_creative/38,1,PRODUCTIVE,3,3,1.0,2793,2793,2793,0,NONE,"[""candidate('Wink ;) then smile :) then sad :(')""]","[""candidate('Wink ;) then smile :) then sad :(') == 'Wink 😉 then smile 😊 then sad ☹️'""]",
EvoEval_creative/39,1,PRODUCTIVE,8,8,0.8888888888888888,6143,6143,6143,1,NONE,"[""candidate(1, 'Z9')""]","[""candidate(1, 'Z9') == '*Z9*\\n****'""]",
EvoEval_creative/39,2,VALID_ZERO_KILL,0,8,0.8888888888888888,1872,8015,8015,1,VALID_ZERO_KILL,"[""candidate(3, 'a1')""]","[""candidate(3, 'a1') == '*aaa111*\\n*aaa111*\\n*aaa111*\\n********'""]",valid but unproductive: killed zero active mutants
EvoEval_creative/39,3,VALID_ZERO_KILL,0,8,0.8888888888888888,2384,10399,10399,1,VALID_ZERO_KILL,"[""candidate(2, 'ab3')""]","[""candidate(2, 'ab3') == '*aabb33*\\n*aabb33*\\n********'""]",valid but unproductive: killed zero active mutants
EvoEval_creative/3,1,PRODUCTIVE,23,23,1.0,16431,16431,16431,0,NONE,"[""candidate('')"", ""candidate('1')"", ""candidate('12')"", ""candidate('25')"", ""candidate('30')"", ""candidate('121')""]","[""candidate('') == ['']"", ""candidate('1') == ['a']"", ""candidate('12') == ['ab', 'l']"", ""candidate('25') == ['be', 'y']"", ""candidate('30') == []"", ""candidate('121') == ['aba', 'au', 'la']""]",
EvoEval_creative/40,1,PRODUCTIVE,20,20,0.9523809523809523,14700,14700,14700,1,NONE,"[""candidate(['Healing Potion 10', 'Strength Potion 5', 'Invisibility Potion 7'], 15)"", ""candidate(['Poison Potion 2', 'Water Breathing Potion 6', 'Night Vision Potion 5'], 10)""]","[""candidate(['Healing Potion 10', 'Strength Potion 5', 'Invisibility Potion 7'], 15) == ['Healing Potion 10', 'Strength Potion 5']"", ""candidate(['Poison Potion 2', 'Water Breathing Potion 6', 'Night Vision Potion 5'], 10) == []""]",
EvoEval_creative/40,2,VALID_ZERO_KILL,0,20,0.9523809523809523,3282,17982,17982,1,VALID_ZERO_KILL,"['candidate(potions, 10)']","[""candidate(potions, 10) == ['Alpha Potion 6', 'Beta Potion 4']""]",valid but unproductive: killed zero active mutants
EvoEval_creative/40,3,VALID_ZERO_KILL,0,20,0.9523809523809523,5402,23384,23384,1,VALID_ZERO_KILL,"['candidate(potions, 5)']","[""candidate(potions, 5) == ['Aqua 2', 'Magi 3']""]",valid but unproductive: killed zero active mutants
EvoEval_creative/41,1,PRODUCTIVE,17,17,0.7727272727272727,15296,15296,15296,5,NONE,"['candidate([[5, 1, 0]])', 'candidate([[5, 100], [1, 0]])']","['candidate([[5, 1, 0]]) == 6', 'candidate([[5, 100], [1, 0]]) == 6']",
EvoEval_creative/41,2,PRODUCTIVE,4,21,0.9545454545454546,9311,24607,24607,1,NONE,"['candidate([[1, 100, 0], [1, 1, 1]])', 'candidate([[1, 1, 1], [50, 50, 1], [50, 0, 1]])']","['candidate([[1, 100, 0], [1, 1, 1]]) == 4', 'candidate([[1, 1, 1], [50, 50, 1], [50, 0, 1]]) == 5']",
EvoEval_creative/41,3,PRODUCTIVE,1,22,1.0,7076,31683,31683,0,NONE,['candidate(arr)'],['candidate(arr) == 2 * n - 2'],
EvoEval_creative/42,1,PRODUCTIVE,20,20,1.0,11603,11603,11603,0,NONE,"['candidate([4])', 'candidate([5, 1])', 'candidate([5])']","['candidate([4]) == (False, None)', 'candidate([5, 1]) == (True, 1)', 'candidate([5]) == (True, -1)']",
EvoEval_creative/43,1,PRODUCTIVE,18,18,1.0,15097,15097,15097,0,NONE,"['candidate(1.0, 3.0, 1.0, 1.0, 1.0)', 'candidate(1.0, 1.0, 1.0, 2.0, 1.0)', 'candidate(1.0, 1.0, 0.5, 1.0, 5.0)', 'candidate(2.0, 1.0, 0.9, 1.0, 5.0)']","['candidate(1.0, 3.0, 1.0, 1.0, 1.0) == 0.97', 'candidate(1.0, 1.0, 1.0, 2.0, 1.0) == 0.8', 'candidate(1.0, 1.0, 0.5, 1.0, 5.0) == 0.0', ""candidate(2.0, 1.0, 0.9, 1.0, 5.0) == 'Insufficient fuel'""]",
EvoEval_creative/44,1,PRODUCTIVE,8,8,0.8,7841,7841,7841,2,NONE,"['candidate([2], 1, 1)', 'candidate([3], 1, 1)']","['candidate([2], 1, 1) is True', 'candidate([3], 1, 1) is False']",
EvoEval_creative/44,2,VALID_ZERO_KILL,0,8,0.8,5005,12846,12846,2,VALID_ZERO_KILL,"['candidate([], 0, 0)', 'candidate([1, 1, 1], 0, 3)', 'candidate([4], 1, 2)']","['candidate([], 0, 0) is True', 'candidate([1, 1, 1], 0, 3) is True', 'candidate([4], 1, 2) is False']",valid but unproductive: killed zero active mutants
EvoEval_creative/44,3,VALID_ZERO_KILL,0,8,0.8,2890,15736,15736,2,VALID_ZERO_KILL,"['candidate([5, 10, 15], 15, 15)']","['candidate([5, 10, 15], 15, 15) is True']",valid but unproductive: killed zero active mutants
EvoEval_creative/45,1,PRODUCTIVE,5,5,1.0,4025,4025,4025,0,NONE,['candidate([])'],['candidate([]) == -1'],
EvoEval_creative/46,1,PRODUCTIVE,5,5,1.0,4492,4492,4492,0,NONE,"[""candidate([['apple'], ['Banana', 'grape', 'kiwi', 'melon']])""]","[""candidate([['apple'], ['Banana', 'grape', 'kiwi', 'melon']]) == ['Take the cannoli.', 'bgkm']""]",
EvoEval_creative/47,1,PRODUCTIVE,9,9,0.9,4885,4885,4885,1,NONE,"[""candidate({'sugar': 1}, {'sugar': 2})"", ""candidate({'flour': 3}, {'flour': 3})"", ""candidate({'eggs': 5}, {'eggs': 2})""]","[""candidate({'sugar': 1}, {'sugar': 2}) is True"", ""candidate({'flour': 3}, {'flour': 3}) is True"", ""candidate({'eggs': 5}, {'eggs': 2}) is False""]",
EvoEval_creative/47,2,VALID_ZERO_KILL,0,9,0.9,4989,9874,9874,1,VALID_ZERO_KILL,"['candidate({}, {})']","['candidate({}, {}) is True']",valid but unproductive: killed zero active mutants
EvoEval_creative/47,3,VALID_ZERO_KILL,0,9,0.9,3759,13633,13633,1,VALID_ZERO_KILL,"[""candidate({'flour': 200, 'sugar': 100, 'eggs': 2}, {'flour': 200, 'sugar': 150, 'eggs': 2, 'milk': 10})"", ""candidate({'milk': 1}, {})"", ""candidate({'salt': 5}, {'salt': 4})""]","[""candidate({'flour': 200, 'sugar': 100, 'eggs': 2}, {'flour': 200, 'sugar': 150, 'eggs': 2, 'milk': 10}) is True"", ""candidate({'milk': 1}, {}) is False"", ""candidate({'salt': 5}, {'salt': 4}) is False""]",valid but unproductive: killed zero active mutants
EvoEval_creative/48,1,PRODUCTIVE,9,9,1.0,7254,7254,7254,0,NONE,['candidate(logs)'],"[""candidate(logs) == {'Wand': 1}""]",
EvoEval_creative/49,1,PRODUCTIVE,4,4,1.0,3749,3749,3749,0,NONE,"[""candidate('01 1/000')""]","[""candidate('01 1/000') == 'AT S'""]",
EvoEval_creative/4,1,PRODUCTIVE,17,17,0.9444444444444444,11000,11000,11000,1,NONE,"['candidate([])', 'candidate([0])', 'candidate([1, 2])', 'candidate([1, 1])']","['r == 0', 'type(r) is int', 'candidate([0]) == 1', 'candidate([1, 2]) == 2', 'candidate([1, 1]) == 1']",
EvoEval_creative/4,2,VALID_ZERO_KILL,0,17,0.9444444444444444,2396,13396,13396,1,VALID_ZERO_KILL,"['candidate([3, 2, 1, 3, 2, 4])', 'candidate([1, 2, 3, 4, 5])', 'candidate([5, 4, 3, 2, 1])', 'candidate([2, 2, 3, 3, 4])']","['candidate([3, 2, 1, 3, 2, 4]) == 2', 'candidate([1, 2, 3, 4, 5]) == 5', 'candidate([5, 4, 3, 2, 1]) == 1', 'candidate([2, 2, 3, 3, 4]) == 3']",valid but unproductive: killed zero active mutants
EvoEval_creative/4,3,VALID_ZERO_KILL,0,17,0.9444444444444444,2287,15683,15683,1,VALID_ZERO_KILL,"['candidate([2, 1, 2, 3, 3, 4, 0, 5])', 'candidate([-1, -2, 0, 0, 1])']","['candidate([2, 1, 2, 3, 3, 4, 0, 5]) == 4', 'candidate([-1, -2, 0, 0, 1]) == 3']",valid but unproductive: killed zero active mutants
EvoEval_creative/5,1,PRODUCTIVE,12,12,1.0,7132,7132,7132,0,NONE,['candidate(matrix)'],"['candidate(matrix) == [1, 2, 4, 3, 5, 6, 7, 10, 9, 8]']",
