method,problem_id,layer,attempt,provider,model,status,target_count,new_kills,cumulative_score,prompt_tokens,completion_tokens,total_tokens,prompt_chars,response_chars,latency_sec,estimated_cost_usd,validation_reason
proposed,EvoEval_creative/11,Layer1,3,hf,Qwen/Qwen2.5-Coder-3B-Instruct,VALID_ZERO_KILL,1,0,0.9375,2960,107,3067,12077,447,12.822,0.0,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/11,Layer2,1,openai,gpt-5-mini,PRODUCTIVE,1,1,1.0,1583,126,3117,6055,306,20.66,0.00346375,
proposed,EvoEval_creative/12,Layer1,1,hf,Qwen/Qwen2.5-Coder-3B-Instruct,PRODUCTIVE,3,4,1.0,3465,87,3552,13734,266,11.3612,0.0,
proposed,EvoEval_creative/13,Layer1,1,hf,Qwen/Qwen2.5-Coder-3B-Instruct,PRODUCTIVE,5,8,0.8888888888888888,3792,102,3894,15201,289,13.4544,0.0,
proposed,EvoEval_creative/13,Layer1,2,hf,Qwen/Qwen2.5-Coder-3B-Instruct,VALID_ZERO_KILL,1,0,0.8888888888888888,2643,102,2745,10874,289,11.7223,0.0,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/13,Layer1,3,hf,Qwen/Qwen2.5-Coder-3B-Instruct,VALID_ZERO_KILL,1,0,0.8888888888888888,2658,102,2760,10940,289,12.0861,0.0,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/13,Layer2,1,openai,gpt-5-mini,VALID_ZERO_KILL,1,0,0.8888888888888888,1348,56,2108,5234,101,9.9286,0.001857,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/13,Layer3,1,openai,gpt-5.2,VALID_ZERO_KILL,1,0,0.8888888888888888,1258,23,5311,5002,64,61.6813,0.0589435,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/14,Layer1,1,hf,Qwen/Qwen2.5-Coder-3B-Instruct,PRODUCTIVE,5,14,1.0,3928,113,4041,15880,426,14.7077,0.0,
proposed,EvoEval_creative/15,Layer1,1,hf,Qwen/Qwen2.5-Coder-3B-Instruct,PRODUCTIVE,4,15,0.6,4096,26,4122,15614,84,7.045,0.0,
proposed,EvoEval_creative/15,Layer1,2,hf,Qwen/Qwen2.5-Coder-3B-Instruct,VALID_ZERO_KILL,2,0,0.6,3305,33,3338,12503,151,6.4512,0.0,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/15,Layer1,3,hf,Qwen/Qwen2.5-Coder-3B-Instruct,VALID_ZERO_KILL,2,0,0.6,3319,48,3367,12568,156,7.8323,0.0,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/15,Layer2,1,openai,gpt-5-mini,PRODUCTIVE,2,1,0.64,2174,266,4040,7308,718,22.5885,0.0042755,
proposed,EvoEval_creative/15,Layer2,2,openai,gpt-5-mini,PRODUCTIVE,2,2,0.72,2330,92,3574,7826,116,15.6477,0.0030705,
proposed,EvoEval_creative/15,Layer2,3,openai,gpt-5-mini,PRODUCTIVE,2,3,0.84,2312,62,3590,7890,96,16.6687,0.003134,
proposed,EvoEval_creative/15,Layer2,4,openai,gpt-5-mini,PRODUCTIVE,2,1,0.88,2420,227,4311,8114,689,25.1297,0.004387,
proposed,EvoEval_creative/15,Layer2,5,openai,gpt-5-mini,VALID_ZERO_KILL,2,0,0.88,2448,36,4916,8233,80,28.9355,0.005548,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/15,Layer3,1,openai,gpt-5.2,PRODUCTIVE,2,1,0.92,2237,85,4245,7790,199,30.7778,0.03202675,
proposed,EvoEval_creative/15,Layer3,2,openai,gpt-5.2,VALID_ZERO_KILL,2,0,0.92,2413,60,3285,8209,136,14.0742,0.01643075,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/16,Layer1,1,hf,Qwen/Qwen2.5-Coder-3B-Instruct,PRODUCTIVE,5,19,0.7916666666666666,4076,133,4209,15821,505,17.1304,0.0,
proposed,EvoEval_creative/16,Layer1,2,hf,Qwen/Qwen2.5-Coder-3B-Instruct,VALID_ZERO_KILL,2,0,0.7916666666666666,2991,97,3088,11836,414,11.735,0.0,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/16,Layer1,3,hf,Qwen/Qwen2.5-Coder-3B-Instruct,VALID_ZERO_KILL,2,0,0.7916666666666666,3005,97,3102,11901,414,12.2288,0.0,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/16,Layer2,1,openai,gpt-5-mini,VALID_ZERO_KILL,2,0,0.7916666666666666,1709,86,5059,6369,79,38.6904,0.00712725,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/16,Layer3,1,openai,gpt-5.2,PRODUCTIVE,2,1,0.8333333333333334,1701,36,2829,6432,102,17.3353,0.01876875,
proposed,EvoEval_creative/16,Layer3,2,openai,gpt-5.2,VALID_ZERO_KILL,2,0,0.8333333333333334,1545,75,2681,5783,202,16.2544,0.01860775,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/17,Layer1,1,hf,Qwen/Qwen2.5-Coder-3B-Instruct,PRODUCTIVE,5,10,0.7692307692307693,4096,255,4351,17138,893,28.251,0.0,
proposed,EvoEval_creative/17,Layer1,2,hf,Qwen/Qwen2.5-Coder-3B-Instruct,VALID_ZERO_KILL,2,0,0.7692307692307693,3167,128,3295,12187,532,15.4274,0.0,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/17,Layer1,3,hf,Qwen/Qwen2.5-Coder-3B-Instruct,VALID_ZERO_KILL,2,0,0.7692307692307693,3181,103,3284,12252,30,12.7146,0.0,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/17,Layer2,1,openai,gpt-5-mini,PRODUCTIVE,2,3,1.0,1920,67,2947,6793,121,12.8981,0.002534,
proposed,EvoEval_creative/18,Layer1,1,hf,Qwen/Qwen2.5-Coder-3B-Instruct,PRODUCTIVE,5,21,1.0,3979,35,4014,15759,128,7.6557,0.0,
proposed,EvoEval_creative/19,Layer1,1,hf,Qwen/Qwen2.5-Coder-3B-Instruct,PRODUCTIVE,5,19,1.0,4096,130,4226,17283,312,16.506,0.0,
proposed,EvoEval_creative/1,Layer1,1,hf,Qwen/Qwen2.5-Coder-3B-Instruct,PRODUCTIVE,5,19,0.76,4096,146,4242,16669,523,18.1651,0.0,
proposed,EvoEval_creative/1,Layer1,2,hf,Qwen/Qwen2.5-Coder-3B-Instruct,VALID_ZERO_KILL,2,0,0.76,3216,117,3333,12243,363,13.9235,0.0,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/1,Layer1,3,hf,Qwen/Qwen2.5-Coder-3B-Instruct,VALID_ZERO_KILL,2,0,0.76,3230,117,3347,12308,363,14.2914,0.0,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/1,Layer2,1,openai,gpt-5-mini,PRODUCTIVE,2,2,0.84,1987,71,3402,6926,65,15.7393,0.00332675,
proposed,EvoEval_creative/1,Layer2,2,openai,gpt-5-mini,VALID_ZERO_KILL,1,0,0.84,1980,76,4616,6774,77,30.5169,0.005767,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/1,Layer3,1,openai,gpt-5.2,VALID_ZERO_KILL,1,0,0.84,1713,51,2773,6235,123,18.5172,0.01783775,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/20,Layer1,1,hf,Qwen/Qwen2.5-Coder-3B-Instruct,PRODUCTIVE,2,22,1.0,3025,32,3057,11895,145,5.7898,0.0,
proposed,EvoEval_creative/21,Layer1,1,hf,Qwen/Qwen2.5-Coder-3B-Instruct,PRODUCTIVE,5,19,0.9047619047619048,4096,144,4240,18782,516,18.17,0.0,
proposed,EvoEval_creative/21,Layer1,2,hf,Qwen/Qwen2.5-Coder-3B-Instruct,VALID_ZERO_KILL,2,0,0.9047619047619048,3208,122,3330,12523,302,14.4002,0.0,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/21,Layer1,3,hf,Qwen/Qwen2.5-Coder-3B-Instruct,VALID_ZERO_KILL,2,0,0.9047619047619048,3222,122,3344,12588,302,14.7599,0.0,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/21,Layer2,1,openai,gpt-5-mini,PRODUCTIVE,2,1,0.9523809523809523,1961,106,3347,7078,173,14.2447,0.00326225,
proposed,EvoEval_creative/21,Layer2,2,openai,gpt-5-mini,VALID_ZERO_KILL,1,0,0.9523809523809523,1925,44,2673,6862,118,8.484,0.00197725,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/21,Layer3,1,openai,gpt-5.2,VALID_ZERO_KILL,1,0,0.9523809523809523,1584,55,3543,6068,162,30.1134,0.030198,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/22,Layer1,1,hf,Qwen/Qwen2.5-Coder-3B-Instruct,PRODUCTIVE,5,25,1.0,4096,822,4918,15601,3817,81.7144,0.0,
proposed,EvoEval_creative/23,Layer1,1,hf,Qwen/Qwen2.5-Coder-3B-Instruct,PRODUCTIVE,5,21,0.84,4096,1536,5632,16371,492,150.2577,0.0,
proposed,EvoEval_creative/23,Layer1,2,hf,Qwen/Qwen2.5-Coder-3B-Instruct,VALID_ZERO_KILL,2,0,0.84,3027,27,3054,11881,140,5.5309,0.0,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/23,Layer1,3,hf,Qwen/Qwen2.5-Coder-3B-Instruct,VALID_ZERO_KILL,2,0,0.84,3041,27,3068,11946,140,5.3057,0.0,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/23,Layer2,1,openai,gpt-5-mini,PRODUCTIVE,2,1,0.88,1686,163,5561,6459,437,48.7885,0.0081715,
proposed,EvoEval_creative/23,Layer2,2,openai,gpt-5-mini,VALID_ZERO_KILL,2,0,0.88,1845,78,4547,6981,56,31.4213,0.00586525,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/23,Layer3,1,openai,gpt-5.2,VALID_ZERO_KILL,2,0,0.88,1734,169,4049,6650,607,34.9646,0.0354445,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/24,Layer1,1,hf,Qwen/Qwen2.5-Coder-3B-Instruct,PRODUCTIVE,1,2,1.0,2780,199,2979,11259,382,20.998,0.0,
proposed,EvoEval_creative/25,Layer1,1,hf,Qwen/Qwen2.5-Coder-3B-Instruct,PRODUCTIVE,4,8,0.7272727272727273,4096,56,4152,17104,241,9.631,0.0,
proposed,EvoEval_creative/25,Layer1,2,hf,Qwen/Qwen2.5-Coder-3B-Instruct,VALID_ZERO_KILL,2,0,0.7272727272727273,3114,62,3176,12853,267,8.9558,0.0,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/25,Layer1,3,hf,Qwen/Qwen2.5-Coder-3B-Instruct,VALID_ZERO_KILL,2,0,0.7272727272727273,3129,61,3190,12919,262,8.6899,0.0,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/25,Layer2,1,openai,gpt-5-mini,VALID_ZERO_KILL,2,0,0.7272727272727273,1838,66,3504,7419,99,20.2851,0.0037915,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/25,Layer3,1,openai,gpt-5.2,VALID_ZERO_KILL,2,0,0.7272727272727273,1732,50,4112,7074,156,33.8125,0.036351,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/26,Layer1,1,hf,Qwen/Qwen2.5-Coder-3B-Instruct,PRODUCTIVE,2,16,0.6666666666666666,3935,374,4309,14116,1204,40.7004,0.0,
proposed,EvoEval_creative/26,Layer1,2,hf,Qwen/Qwen2.5-Coder-3B-Instruct,VALID_ZERO_KILL,1,0,0.6666666666666666,3624,214,3838,12584,719,24.4274,0.0,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/26,Layer1,3,hf,Qwen/Qwen2.5-Coder-3B-Instruct,VALID_ZERO_KILL,1,0,0.6666666666666666,3493,233,3726,12383,626,25.9027,0.0,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/26,Layer2,1,openai,gpt-5-mini,PRODUCTIVE,1,2,0.75,2370,63,3265,6927,80,10.9537,0.0023825,
proposed,EvoEval_creative/26,Layer2,2,openai,gpt-5-mini,PRODUCTIVE,1,1,0.7916666666666666,2605,69,3762,7541,82,14.5146,0.00296525,
proposed,EvoEval_creative/26,Layer2,3,openai,gpt-5-mini,PRODUCTIVE,1,2,0.875,2687,121,6008,7846,146,37.3915,0.00731375,
proposed,EvoEval_creative/26,Layer2,4,openai,gpt-5-mini,PRODUCTIVE,1,1,0.9166666666666666,2762,292,4334,7909,937,18.34,0.0038345,
proposed,EvoEval_creative/26,Layer2,5,openai,gpt-5-mini,PRODUCTIVE,1,1,0.9583333333333334,2727,362,7313,7995,1038,54.873,0.00985375,
proposed,EvoEval_creative/26,Layer2,6,openai,gpt-5-mini,REJECTED,1,0,0.9583333333333334,2866,338,6468,8443,1020,42.0648,0.0079205,test_0: ERROR - IndexError:list index out of range
proposed,EvoEval_creative/26,Layer3,1,openai,gpt-5.2,PRODUCTIVE,1,1,1.0,2487,190,6019,7798,506,56.3011,0.05380025,
proposed,EvoEval_creative/27,Layer1,1,hf,Qwen/Qwen2.5-Coder-3B-Instruct,PRODUCTIVE,3,6,1.0,3541,191,3732,13861,593,21.0155,0.0,
proposed,EvoEval_creative/28,Layer1,1,hf,Qwen/Qwen2.5-Coder-3B-Instruct,PRODUCTIVE,2,22,0.88,3585,47,3632,13139,215,8.5579,0.0,
proposed,EvoEval_creative/28,Layer1,2,hf,Qwen/Qwen2.5-Coder-3B-Instruct,VALID_ZERO_KILL,1,0,0.88,3395,47,3442,12372,215,8.0787,0.0,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/28,Layer1,3,hf,Qwen/Qwen2.5-Coder-3B-Instruct,VALID_ZERO_KILL,1,0,0.88,3409,34,3443,12437,148,6.9888,0.0,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/28,Layer2,1,openai,gpt-5-mini,VALID_ZERO_KILL,1,0,0.88,1898,79,4089,6778,65,28.5508,0.0048565,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/28,Layer3,1,openai,gpt-5.2,VALID_ZERO_KILL,1,0,0.88,1849,43,2626,6747,104,15.0036,0.01411375,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/29,Layer1,1,hf,Qwen/Qwen2.5-Coder-3B-Instruct,PRODUCTIVE,5,12,0.9230769230769231,4096,177,4273,16736,369,21.0551,0.0,
proposed,EvoEval_creative/29,Layer1,2,hf,Qwen/Qwen2.5-Coder-3B-Instruct,VALID_ZERO_KILL,1,0,0.9230769230769231,2954,105,3059,11573,376,12.9107,0.0,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/29,Layer1,3,hf,Qwen/Qwen2.5-Coder-3B-Instruct,VALID_ZERO_KILL,1,0,0.9230769230769231,2968,188,3156,11638,838,20.0696,0.0,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/29,Layer2,1,openai,gpt-5-mini,VALID_ZERO_KILL,1,0,0.9230769230769231,1520,117,3237,5689,354,20.9482,0.003814,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/29,Layer3,1,openai,gpt-5.2,VALID_ZERO_KILL,1,0,0.9230769230769231,1498,118,2695,5678,418,19.2744,0.0193795,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/2,Layer1,1,hf,Qwen/Qwen2.5-Coder-3B-Instruct,PRODUCTIVE,5,16,1.0,4096,183,4279,17640,832,21.8476,0.0,
proposed,EvoEval_creative/30,Layer1,1,hf,Qwen/Qwen2.5-Coder-3B-Instruct,REJECTED,2,0,0.0,3097,384,3481,11879,1183,38.5853,0.0,vacuous test: check never calls candidate
proposed,EvoEval_creative/30,Layer1,2,hf,Qwen/Qwen2.5-Coder-3B-Instruct,REJECTED,2,0,0.0,3240,307,3547,12339,951,32.2006,0.0,vacuous test: check never calls candidate
proposed,EvoEval_creative/30,Layer1,3,hf,Qwen/Qwen2.5-Coder-3B-Instruct,REJECTED,2,0,0.0,3240,307,3547,12339,951,32.0787,0.0,vacuous test: check never calls candidate
proposed,EvoEval_creative/30,Layer2,1,openai,gpt-5-mini,PRODUCTIVE,2,18,0.75,2109,478,4699,7266,1205,30.3463,0.00570725,
proposed,EvoEval_creative/30,Layer2,2,openai,gpt-5-mini,PRODUCTIVE,1,3,0.875,2262,124,3602,7302,180,16.1769,0.0032455,
proposed,EvoEval_creative/30,Layer2,3,openai,gpt-5-mini,PRODUCTIVE,1,1,0.9166666666666666,2086,266,5616,6932,741,39.9881,0.0075815,
proposed,EvoEval_creative/30,Layer2,4,openai,gpt-5-mini,PRODUCTIVE,1,1,0.9583333333333334,2126,125,5899,7060,187,42.0536,0.0080775,
proposed,EvoEval_creative/30,Layer2,5,openai,gpt-5-mini,VALID_ZERO_KILL,1,0,0.9583333333333334,2156,550,6866,7177,1463,47.5004,0.009959,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/30,Layer3,1,openai,gpt-5.2,VALID_ZERO_KILL,1,0,0.9583333333333334,2046,493,4778,6917,1379,37.7088,0.0418285,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/31,Layer1,1,hf,Qwen/Qwen2.5-Coder-3B-Instruct,PRODUCTIVE,5,21,1.0,4096,302,4398,16468,53,32.7978,0.0,
proposed,EvoEval_creative/32,Layer1,1,hf,Qwen/Qwen2.5-Coder-3B-Instruct,PRODUCTIVE,5,21,0.9130434782608695,4096,221,4317,20370,159,24.6405,0.0,
proposed,EvoEval_creative/32,Layer1,2,hf,Qwen/Qwen2.5-Coder-3B-Instruct,VALID_ZERO_KILL,1,0,0.9130434782608695,3197,111,3308,12758,418,13.6204,0.0,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/32,Layer1,3,hf,Qwen/Qwen2.5-Coder-3B-Instruct,VALID_ZERO_KILL,1,0,0.9130434782608695,3211,107,3318,12823,394,13.1237,0.0,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/32,Layer2,1,openai,gpt-5-mini,PRODUCTIVE,1,2,1.0,1834,189,3687,7084,678,22.1634,0.0041645,
proposed,EvoEval_creative/33,Layer1,1,hf,Qwen/Qwen2.5-Coder-3B-Instruct,PRODUCTIVE,5,23,0.92,4096,259,4355,17194,493,28.6654,0.0,
proposed,EvoEval_creative/33,Layer1,2,hf,Qwen/Qwen2.5-Coder-3B-Instruct,VALID_ZERO_KILL,1,0,0.92,3185,19,3204,12340,79,5.0721,0.0,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/33,Layer1,3,hf,Qwen/Qwen2.5-Coder-3B-Instruct,VALID_ZERO_KILL,1,0,0.92,3199,19,3218,12405,79,5.0237,0.0,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/33,Layer2,1,openai,gpt-5-mini,VALID_ZERO_KILL,1,0,0.92,1861,24,3741,6709,56,21.9232,0.00422525,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/33,Layer3,1,openai,gpt-5.2,VALID_ZERO_KILL,1,0,0.92,1804,68,3513,6692,165,26.6202,0.027083,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/34,Layer1,1,hf,Qwen/Qwen2.5-Coder-3B-Instruct,PRODUCTIVE,2,20,0.8333333333333334,3583,490,4073,13382,341,49.2268,0.0,
proposed,EvoEval_creative/34,Layer1,2,hf,Qwen/Qwen2.5-Coder-3B-Instruct,VALID_ZERO_KILL,1,0,0.8333333333333334,3203,361,3564,11940,1379,36.0723,0.0,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/34,Layer1,3,hf,Qwen/Qwen2.5-Coder-3B-Instruct,VALID_ZERO_KILL,1,0,0.8333333333333334,3208,185,3393,11969,96,19.8613,0.0,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/34,Layer2,1,openai,gpt-5-mini,PRODUCTIVE,1,1,0.875,1728,74,2890,6250,104,13.6896,0.002756,
proposed,EvoEval_creative/34,Layer2,2,openai,gpt-5-mini,VALID_ZERO_KILL,1,0,0.875,1937,52,3461,6871,80,17.7058,0.00353225,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/34,Layer3,1,openai,gpt-5.2,PRODUCTIVE,1,1,0.9166666666666666,1782,65,2878,6553,115,13.5822,0.0184625,
proposed,EvoEval_creative/34,Layer3,2,openai,gpt-5.2,VALID_ZERO_KILL,1,0,0.9166666666666666,1899,54,4110,6803,110,30.1384,0.03427725,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/35,Layer1,1,hf,Qwen/Qwen2.5-Coder-3B-Instruct,PRODUCTIVE,5,13,0.6190476190476191,3752,89,3841,15171,233,12.0299,0.0,
proposed,EvoEval_creative/35,Layer1,2,hf,Qwen/Qwen2.5-Coder-3B-Instruct,VALID_ZERO_KILL,3,0,0.6190476190476191,2958,200,3158,12160,893,21.4029,0.0,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/35,Layer1,3,hf,Qwen/Qwen2.5-Coder-3B-Instruct,VALID_ZERO_KILL,3,0,0.6190476190476191,2972,200,3172,12225,893,21.292,0.0,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/35,Layer2,1,openai,gpt-5-mini,PRODUCTIVE,3,4,0.8095238095238095,1776,42,4570,6805,96,33.5576,0.006032,
proposed,EvoEval_creative/35,Layer2,2,openai,gpt-5-mini,VALID_ZERO_KILL,2,0,0.8095238095238095,1754,60,3414,6708,59,17.9565,0.0037585,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/35,Layer3,1,openai,gpt-5.2,PRODUCTIVE,2,1,0.8571428571428571,1595,79,4126,6248,251,34.9931,0.03822525,
proposed,EvoEval_creative/35,Layer3,2,openai,gpt-5.2,VALID_ZERO_KILL,2,0,0.8571428571428571,1756,44,4989,6724,162,45.5032,0.048335,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/36,Layer1,1,hf,Qwen/Qwen2.5-Coder-3B-Instruct,PRODUCTIVE,4,8,1.0,4096,95,4191,15700,210,13.6689,0.0,
proposed,EvoEval_creative/37,Layer1,1,hf,Qwen/Qwen2.5-Coder-3B-Instruct,PRODUCTIVE,5,17,0.68,4096,542,4638,16649,1409,55.1225,0.0,
proposed,EvoEval_creative/37,Layer1,2,hf,Qwen/Qwen2.5-Coder-3B-Instruct,VALID_ZERO_KILL,2,0,0.68,3053,218,3271,12363,878,22.7067,0.0,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/37,Layer1,3,hf,Qwen/Qwen2.5-Coder-3B-Instruct,VALID_ZERO_KILL,2,0,0.68,3067,218,3285,12428,878,22.7061,0.0,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/37,Layer2,1,openai,gpt-5-mini,PRODUCTIVE,2,3,0.8,1880,220,4468,7280,878,33.8078,0.005646,
proposed,EvoEval_creative/37,Layer2,2,openai,gpt-5-mini,PRODUCTIVE,1,1,0.84,1787,65,2684,6873,54,10.8901,0.00224075,
proposed,EvoEval_creative/37,Layer2,3,openai,gpt-5-mini,PRODUCTIVE,1,2,0.92,1839,66,2929,7010,68,13.1955,0.00263975,
proposed,EvoEval_creative/37,Layer2,4,openai,gpt-5-mini,PRODUCTIVE,1,2,1.0,1857,40,2729,7078,68,12.4859,0.00220825,
proposed,EvoEval_creative/38,Layer1,1,hf,Qwen/Qwen2.5-Coder-3B-Instruct,PRODUCTIVE,2,3,1.0,3108,133,3241,12836,30,15.4094,0.0,
proposed,EvoEval_creative/39,Layer1,1,hf,Qwen/Qwen2.5-Coder-3B-Instruct,PRODUCTIVE,3,8,0.8888888888888888,3820,117,3937,14598,250,15.0108,0.0,
proposed,EvoEval_creative/39,Layer1,2,hf,Qwen/Qwen2.5-Coder-3B-Instruct,VALID_ZERO_KILL,1,0,0.8888888888888888,2905,169,3074,11334,325,18.3699,0.0,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/39,Layer1,3,hf,Qwen/Qwen2.5-Coder-3B-Instruct,VALID_ZERO_KILL,1,0,0.8888888888888888,2910,170,3080,11364,325,18.6059,0.0,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/39,Layer2,1,openai,gpt-5-mini,VALID_ZERO_KILL,1,0,0.8888888888888888,1474,84,3222,5512,233,21.5325,0.0038645,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/39,Layer3,1,openai,gpt-5.2,VALID_ZERO_KILL,1,0,0.8888888888888888,1436,79,2141,5505,227,10.5891,0.012383,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/3,Layer1,1,hf,Qwen/Qwen2.5-Coder-3B-Instruct,PRODUCTIVE,5,22,0.9565217391304348,4096,178,4274,17613,861,21.1498,0.0,
proposed,EvoEval_creative/3,Layer1,2,hf,Qwen/Qwen2.5-Coder-3B-Instruct,VALID_ZERO_KILL,1,0,0.9565217391304348,2743,69,2812,11114,53,8.9895,0.0,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/3,Layer1,3,hf,Qwen/Qwen2.5-Coder-3B-Instruct,VALID_ZERO_KILL,1,0,0.9565217391304348,2757,69,2826,11179,53,9.2001,0.0,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/3,Layer2,1,openai,gpt-5-mini,PRODUCTIVE,1,1,1.0,1414,42,2608,5505,58,14.7207,0.0027415,
proposed,EvoEval_creative/40,Layer1,1,hf,Qwen/Qwen2.5-Coder-3B-Instruct,PRODUCTIVE,5,20,0.9523809523809523,4096,352,4448,20421,836,36.9793,0.0,
